Station,Year,yearly_rainfall
Changi,2014,1538.4
Changi,2015,1266.8
Changi,2016,1956.5
Changi,2017,2054.6
Changi,2018,1708.2
Changi,2019,1367.5
Changi,2020,1886.6
Changi,2021,2809.6
Changi,2022,2207.8
Changi,2023,2411.2
Choa Chu Kang (South),2014,2251.3
Choa Chu Kang (South),2015,1666.4
Choa Chu Kang (South),2016,2642.4
Choa Chu Kang (South),2017,2432.6
Choa Chu Kang (South),2018,2858.9
Choa Chu Kang (South),2019,2136.7
Choa Chu Kang (South),2020,2740
Choa Chu Kang (South),2021,3448.2
Choa Chu Kang (South),2022,2899.6
Choa Chu Kang (South),2023,3263.6
East Coast Parkway,2014,1487.3
East Coast Parkway,2015,1031
East Coast Parkway,2016,1646
East Coast Parkway,2017,2183.1
East Coast Parkway,2018,1341.2
East Coast Parkway,2019,1292.7
East Coast Parkway,2020,2077.6
East Coast Parkway,2021,2551.6
East Coast Parkway,2022,1918.5
East Coast Parkway,2023,2138.9
Jurong (West),2014,1115.5
Jurong (West),2015,2417.4
Jurong (West),2016,2482
Jurong (West),2017,2397.5
Jurong (West),2018,2829.4
Jurong (West),2019,2077.9
Jurong (West),2020,3286.4
Jurong (West),2021,3213.6
Jurong (West),2022,3106.4
Jurong (West),2023,2979.2
Newton,2014,2204.6
Newton,2015,1825.6
Newton,2016,1400.9
Newton,2017,2406
Newton,2018,2515.6
Newton,2019,1602.5
Newton,2020,2508.9
Newton,2021,2847
Newton,2022,2495.4
Newton,2023,2776.3
Pasir Panjang,2014,1814.2
Pasir Panjang,2015,1627.1
Pasir Panjang,2016,2031
Pasir Panjang,2017,2079.6
Pasir Panjang,2018,2254.2
Pasir Panjang,2019,1611.6
Pasir Panjang,2020,2413.6
Pasir Panjang,2021,3002.4
Pasir Panjang,2022,2635.4
Pasir Panjang,2023,2525.9
Tai Seng,2014,1950.4
Tai Seng,2015,1584.6
Tai Seng,2016,2249.2
Tai Seng,2017,2705.2
Tai Seng,2018,2184
Tai Seng,2019,1638.7
Tai Seng,2020,2585
Tai Seng,2021,3338.2
Tai Seng,2022,2790.8
Tai Seng,2023,2583
