Year,Month,median_mean_temp,median_max_temp,median_min_temp
2014,1,26.1,29.4,24.1
2014,2,27.3,31.75,24.65
2014,3,27.8,32.4,25.1
2014,4,28.3,32.3,25.5
2014,5,28.6,31.8,25.9
2014,6,29.4,32.2,26.6
2014,7,28.85,31.4,26.7
2014,8,27.8,30.5,25.4
2014,9,28.8,31.9,26.3
2014,10,28.65,32,26.05
2014,11,27.4,31.4,25.1
2014,12,26.9,30.65,24.7
2015,1,26.9,30.8,24.8
2015,2,26.9,30.8,24.5
2015,3,28,32.3,25.5
2015,4,28.35,32.7,25.95
2015,5,29,31.9,26.7
2015,6,29.1,32,26.9
2015,7,29.1,31.8,27.1
2015,8,28.6,31.3,26.3
2015,9,28.8,31.5,26.9
2015,10,28.9,32.2,26.6
2015,11,27.8,31.75,25.3
2015,12,27.7,31.7,25
2016,1,28.2,31.9,26
2016,2,27.8,31.4,25.6
2016,3,28.8,32.6,26.6
2016,4,29.3,33.150000000000006,26.6
2016,5,29.2,32.8,26.3
2016,6,28.7,31.3,26.2
2016,7,28.3,31.3,25.4
2016,8,29,31.7,26.7
2016,9,28.6,31.8,25.4
2016,10,28.5,31.3,25.45
2016,11,27.6,30.8,25.1
2016,12,27.4,31.5,24.9
2017,1,27.1,30.9,25
2017,2,27.1,31,24.8
2017,3,27.4,31.3,25
2017,4,27.9,31.4,24.9
2017,5,28.5,31.5,25.9
2017,6,28.8,31.7,26.2
2017,7,28.5,31.1,26.2
2017,8,28.3,31,26.1
2017,9,28.2,31.3,25.4
2017,10,28.1,31.5,25.6
2017,11,27.3,30.9,24.75
2017,12,27.3,31.2,24.9
2018,1,26.7,30.8,24.3
2018,2,27.2,31.3,24.85
2018,3,28,32.2,25.4
2018,4,28.35,32.7,26
2018,5,28.4,32,25.9
2018,6,28.4,31.25,25.55
2018,7,28.6,31.4,26.5
2018,8,28.6,31.4,26.7
2018,9,28.05,30.9,25.5
2018,10,27.8,31.6,25.2
2018,11,27.35,31,24.6
2018,12,27.6,31.7,25.2
2019,1,28,31.7,25.6
2019,2,28.2,32.5,25.8
2019,3,28.7,33.4,26
2019,4,28.7,32.7,26.1
2019,5,29.3,32.2,26.8
2019,6,28.5,31.3,26
2019,7,29,31.8,27.1
2019,8,29,32.1,27.2
2019,9,28.9,32.45,26.9
2019,10,28,32.2,25.3
2019,11,28,32.1,25.55
2019,12,27.1,30.6,24.8
2020,1,27.7,31.6,25.3
2020,2,28,31.7,25.5
2020,3,28.6,33,26.2
2020,4,28.8,32.9,26.1
2020,5,28.9,32.4,26.1
2020,6,28.3,31.2,25.7
2020,7,27.9,30.8,25.5
2020,8,28.4,31.5,26
2020,9,27.7,30.9,24.8
2020,10,28.3,31.1,25.4
2020,11,27.2,31.1,24.8
2020,12,27.1,31.7,24.6
2021,1,26.2,29.6,24
2021,2,27.1,31.3,24.8
2021,3,27.8,32.6,25
2021,4,28.2,32.5,25.1
2021,5,28.6,32.1,26.1
2021,6,28.6,31.9,25.5
2021,7,29,31.8,26.7
2021,8,27.6,30.9,24.5
2021,9,28.2,31.7,25.4
2021,10,28.5,32,25.9
2021,11,27.6,31.35,24.7
2021,12,27.6,31.2,25.4
2022,1,27.6,32,25
2022,2,27.4,31.5,24.8
2022,3,28.1,32.5,25.1
2022,4,28.15,32.3,25.1
2022,5,29.2,32.7,26.4
2022,6,28,31,25.15
2022,7,28.8,31.7,26.5
2022,8,28.1,31.1,25.4
2022,9,28,30.75,25.6
2022,10,27.4,31.1,24.4
2022,11,27.2,31.1,24.3
2022,12,26.7,30.3,24.5
2023,1,27,30.6,24.7
2023,2,26.9,31.05,24.5
2023,3,27.2,31.1,24.8
2023,4,28.6,32.5,25.8
2023,5,29.5,32.9,26.8
2023,6,29.1,32.05,26.1
2023,7,28.8,31.7,26.1
2023,8,28.8,31.9,26.7
2023,9,29,32.1,26.7
2023,10,29.1,33.3,26.4
2023,11,27.8,32.349999999999994,25.5
2023,12,27.2,31.3,25
